,symboling,normalized-losses,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_dohcv,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
0,3,122.00,2,88.60,168.80,64.10,48.80,2548,4,130,3.47,2.68,9.00,111,5000,21.00,27.00,13495,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,122.00,2,88.60,168.80,64.10,48.80,2548,4,130,3.47,2.68,9.00,111,5000,21.00,27.00,16500,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,122.00,2,94.50,171.20,65.50,52.40,2823,6,152,2.68,3.47,9.00,154,5000,19.00,26.00,16500,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,2,164.00,4,99.80,176.60,66.20,54.30,2337,4,109,3.19,3.40,10.00,102,5500,24.00,30.00,13950,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,2,164.00,4,99.40,176.60,66.40,54.30,2824,5,136,3.19,3.40,8.00,115,5500,18.00,22.00,17450,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,2,122.00,2,99.80,177.30,66.30,53.10,2507,5,136,3.19,3.40,8.50,110,5500,19.00,25.00,15250,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6,1,158.00,4,105.80,192.70,71.10,55.70,2844,5,136,3.19,3.40,8.50,110,5500,19.00,25.00,17710,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7,1,122.00,4,105.80,192.70,71.10,55.70,2954,5,136,3.19,3.40,8.50,110,5500,19.00,25.00,18920,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,1,158.00,4,105.80,192.70,71.10,55.90,3086,5,131,3.13,3.40,8.30,140,5500,17.00,20.00,23875,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,0,122.00,2,99.50,178.20,67.90,52.00,3053,5,131,3.13,3.40,7.40,160,5500,16.00,22.00,13207,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,2,191.00,2,101.20,176.80,64.80,54.30,2395,4,108,3.50,2.80,8.80,101,5800,23.00,29.00,16430,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11,0,191.00,4,101.20,176.80,64.80,54.30,2395,4,108,3.50,2.80,8.80,101,5800,23.00,29.00,16925,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12,0,188.00,2,101.20,176.80,64.80,54.30,2710,6,164,3.31,3.19,9.00,121,4250,21.00,28.00,20970,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13,0,188.00,4,101.20,176.80,64.80,54.30,2765,6,164,3.31,3.19,9.00,121,4250,21.00,28.00,21105,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14,1,122.00,4,103.50,189.00,66.90,55.70,3055,6,164,3.31,3.19,9.00,121,4250,20.00,25.00,24565,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,0,122.00,4,103.50,189.00,66.90,55.70,3230,6,207,3.62,3.39,8.00,182,5400,16.00,22.00,29568,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,0,122.00,2,103.50,193.80,67.90,53.70,3380,6,207,3.62,3.39,8.00,182,5400,16.00,22.00,29568,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17,0,122.00,4,110.00,197.00,70.90,56.30,3505,6,207,3.62,3.39,8.00,182,5400,15.00,20.00,29568,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,2,121.00,2,88.40,141.10,60.30,53.20,1488,3,61,2.91,3.03,9.50,48,5100,46.50,47.50,5151,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
19,1,98.00,2,94.50,155.90,63.60,52.00,1874,4,90,3.03,3.11,9.60,70,5400,38.00,43.00,6295,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20,0,81.00,4,94.50,158.80,63.60,52.00,1909,4,90,3.03,3.11,9.60,70,5400,38.00,43.00,6575,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21,1,118.00,2,93.70,157.30,63.80,50.80,1876,4,90,2.97,3.23,9.41,68,5500,37.00,41.00,5572,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22,1,118.00,2,93.70,157.30,63.80,50.80,1876,4,90,2.97,3.23,9.40,68,5500,31.00,38.00,6377,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
23,1,118.00,2,93.70,157.30,63.80,50.80,2128,4,98,3.03,3.39,7.60,102,5500,24.00,30.00,7957,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,1,148.00,4,93.70,157.30,63.80,50.60,1967,4,90,2.97,3.23,9.40,68,5500,31.00,38.00,6229,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,1,148.00,4,93.70,157.30,63.80,50.60,1989,4,90,2.97,3.23,9.40,68,5500,31.00,38.00,6692,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,1,148.00,4,93.70,157.30,63.80,50.60,1989,4,90,2.97,3.23,9.40,68,5500,31.00,38.00,7609,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27,1,148.00,4,93.70,157.30,63.80,50.60,2191,4,98,3.03,3.39,7.60,102,5500,24.00,30.00,8558,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28,-1,110.00,4,103.30,174.60,64.60,59.80,2535,4,122,3.34,3.46,8.50,88,5000,24.00,30.00,8921,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,3,145.00,2,95.90,173.20,66.30,50.20,2811,4,156,3.60,3.86,7.40,145,5000,19.00,24.00,12964,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
30,2,137.00,2,86.60,144.60,63.90,50.80,1713,4,92,2.91,3.41,9.60,58,4800,46.50,47.50,6479,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
31,2,137.00,2,86.60,144.60,63.90,50.80,1819,4,92,2.91,3.41,9.20,76,6000,31.00,38.00,6855,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
32,1,101.00,2,93.70,150.00,64.00,52.60,1837,4,79,2.91,3.07,10.10,60,5500,38.00,42.00,5399,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33,1,101.00,2,93.70,150.00,64.00,52.60,1940,4,92,2.91,3.41,9.20,76,6000,30.00,34.00,6529,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
34,1,101.00,2,93.70,150.00,64.00,52.60,1956,4,92,2.91,3.41,9.20,76,6000,30.00,34.00,7129,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
35,0,110.00,4,96.50,163.40,64.00,54.50,2010,4,92,2.91,3.41,9.20,76,6000,30.00,34.00,7295,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
36,0,78.00,4,96.50,157.10,63.90,58.30,2024,4,92,2.92,3.41,9.20,76,6000,30.00,34.00,7295,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
37,0,106.00,2,96.50,167.50,65.20,53.30,2236,4,110,3.15,3.58,9.00,86,5800,27.00,33.00,7895,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
38,0,106.00,2,96.50,167.50,65.20,53.30,2289,4,110,3.15,3.58,9.00,86,5800,27.00,33.00,9095,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
39,0,85.00,4,96.50,175.40,65.20,54.10,2304,4,110,3.15,3.58,9.00,86,5800,27.00,33.00,8845,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
40,0,85.00,4,96.50,175.40,62.50,54.10,2372,4,110,3.15,3.58,9.00,86,5800,27.00,33.00,10295,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
41,0,85.00,4,96.50,175.40,65.20,54.10,2465,4,110,3.15,3.58,9.00,101,5800,24.00,28.00,12945,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
42,1,107.00,2,96.50,169.10,66.00,51.00,2293,4,110,3.15,3.58,9.10,100,5500,25.00,31.00,10345,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
43,0,122.00,4,94.30,170.70,61.80,53.50,2337,4,111,3.31,3.23,8.50,78,4800,24.00,29.00,6785,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44,1,122.00,2,94.50,155.90,63.60,52.00,1874,4,90,3.03,3.11,9.60,70,5400,38.00,43.00,13207,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45,0,122.00,4,94.50,155.90,63.60,52.00,1909,4,90,3.03,3.11,9.60,70,5400,38.00,43.00,13207,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
46,2,122.00,2,96.00,172.60,65.20,51.40,2734,4,119,3.43,3.23,9.20,90,5000,24.00,29.00,11048,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
47,0,145.00,4,113.00,199.60,69.60,52.80,4066,6,207,3.63,3.86,8.10,176,4750,15.00,19.00,29568,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0,122.00,4,113.00,199.60,69.60,52.80,4066,6,207,3.63,3.86,8.10,176,4750,15.00,19.00,29568,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,0,122.00,2,102.00,191.70,70.60,47.80,3950,12,207,3.54,2.76,10.60,185,5000,13.00,17.00,29568,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50,1,104.00,2,93.10,159.10,64.20,54.10,1890,4,91,3.03,3.15,9.00,68,5000,30.00,31.00,5195,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
51,1,104.00,2,93.10,159.10,64.20,54.10,1900,4,91,3.03,3.15,9.00,68,5000,31.00,38.00,6095,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
52,1,104.00,2,93.10,159.10,64.20,54.10,1905,4,91,3.03,3.15,9.00,68,5000,31.00,38.00,6795,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
53,1,113.00,4,93.10,166.80,64.20,54.10,1945,4,91,3.03,3.15,9.00,68,5000,31.00,38.00,6695,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
54,1,113.00,4,93.10,166.80,64.20,54.10,1950,4,91,3.08,3.15,9.00,68,5000,31.00,38.00,7395,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
55,3,150.00,2,95.30,169.00,65.70,49.60,2380,2,70,3.33,3.26,9.40,101,6000,17.00,23.00,10945,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
56,3,150.00,2,95.30,169.00,65.70,49.60,2380,2,70,3.33,3.26,9.40,101,6000,17.00,23.00,11845,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
57,3,150.00,2,95.30,169.00,65.70,49.60,2385,2,70,3.33,3.26,9.40,101,6000,17.00,23.00,13645,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
58,3,150.00,2,95.30,169.00,65.70,49.60,2500,2,80,3.33,3.26,9.40,135,6000,16.00,23.00,15645,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
59,1,129.00,2,98.80,177.80,66.50,53.70,2385,4,122,3.39,3.39,8.60,84,4800,26.00,32.00,8845,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
60,0,115.00,4,98.80,177.80,66.50,55.50,2410,4,122,3.39,3.39,8.60,84,4800,26.00,32.00,8495,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
61,1,129.00,2,98.80,177.80,66.50,53.70,2385,4,122,3.39,3.39,8.60,84,4800,26.00,32.00,10595,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
62,0,115.00,4,98.80,177.80,66.50,55.50,2410,4,122,3.39,3.39,8.60,84,4800,26.00,32.00,10245,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
63,0,122.00,4,98.80,177.80,66.50,55.50,2443,4,122,3.39,3.39,10.60,64,4650,36.00,42.00,10795,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
64,0,115.00,4,98.80,177.80,66.50,55.50,2425,4,122,3.39,3.39,8.60,84,4800,26.00,32.00,11245,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
